Respondent ID,Collector ID,indoor_style_practice,outdoor_style_practice,I love to climb,Climbing is fun,I am motivated to climb,I feel encouraged in my climbing,I feel hindered in my climbing,I am inspired to climb by my female-identified climbing friends,I am inspired to climb by films showcasing outdoor women climbers,I am inspired to spend more time outdoors after watching films that showcase outdoor women climbers,I feel represented within the climbing community,I feel outdoor climbing guides are representative of the larger Vancouver and Squamish area,I feel welcomed in the climbing community,I feel safe in the climbing community,I feel connected to the climbing community,I feel the climbing community reflects the diversity of Vancouver and Squamish areas,I feel it is possible for anyone to progress in climbing,I find indoor climbing more accessible than outdoor climbing,I find it difficult to find the resources to go outdoor climbing,I find it difficult to find the time to go outdoor climbing,I find it difficult to find transportation to outdoor climbing,I find it difficult to find friends to go outdoor climbing with,cohort,survey
Participant 24,270298044,Bouldering,Bouldering,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,c2,s1
Participant 25,270298044,Top-rope,Top-rope,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,c2,s1
Participant 16,270307814,"Bouldering,Top-rope","Bouldering,Top-rope",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,c2,s2
Participant 20,270307814,Top-rope,,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Disagree,c2,s2
Participant 19,270307814,"Bouldering,Top-rope","Top-rope,Traditional,Mixed",Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Disagree,Disagree,c2,s2
Participant 21,270307814,"Bouldering,Top-rope",Top-rope,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,c2,s2
Participant 14,270307814,"Bouldering,Top-rope",Top-rope,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,c2,s2
Participant 15,270307814,,,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly Agree,Agree,Disagree,Agree,c2,s2
Participant 18,270307814,"Bouldering,Top-rope","Top-rope,Traditional",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,c2,s2
Participant 25,270307814,"Bouldering,Top-rope",Top-rope,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,c2,s2
Participant 24,270307814,Top-rope,Top-rope,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,c2,s2
Participant 17,270307814,,,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,c2,s2
Participant 22,270307814,"Bouldering,Top-rope",Top-rope,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,c2,s2
Participant 23,270307814,Top-rope,"Top-rope,Traditional",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,c2,s2
